One professional engineer license issued in zip code 93291 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043738	2019-12-31 06:49:44	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One professional engineer license issued in zip code 93722 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043737	2020-01-02 08:41:31	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One real estate appraiser license issued in zip code 92109 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043736	2020-01-05 06:32:36	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One accountancy license issued in zip code 94404 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043752	2019-12-19 06:50:31	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One architect license issued in zip code 90802 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043751	2019-12-20 07:27:56	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One real estate license issued in zip code 92688 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043735	2020-01-04 07:49:10	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One architect license issued in zip code 92672 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043750	2019-12-21 07:54:02	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One architect license issued in zip code 93101 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043749	2019-12-22 06:49:30	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One collection practice license issued in zip code 91360 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043748	2019-12-23 10:21:33	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One collection practice license issued in zip code 93313 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043747	2019-12-24 07:30:26	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One professional engineer license issued in zip code 90066 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043746	2019-12-26 06:30:06	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
Two postsecondary school licenses issued in zip code 92069 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043745	2019-12-25 08:41:59	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One professional engineer license issued in zip code 90604 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043744	2019-12-27 08:34:42	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One professional engineer license issued in zip code 92071 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043743	2019-12-28 07:40:21	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One professional engineer license issued in zip code 92104 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043742	2019-12-29 07:36:06	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One professional engineer license issued in zip code 92692 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043741	2019-12-30 10:39:28	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One professional engineer license issued in zip code 95240 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043740	2020-01-03 07:11:47	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
One professional engineer license issued in zip code 93401 in Q2 of 2019	California Business Daily	https://pipeline.locallabs.com/stories/521043739	2020-01-01 08:17:01	California Business Daily - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	Metro Business Network
